Date,Castlereigh,Norton,Maussakele,Canyon,Lakshapana,Upper Kotmale,Kotmale,Victoria,Randenigala,Rantambe,Bowatenna,Ukuwela,Samanala Wewa,Kukuleganga,Maskeliya (DOM),Inginiyagala,Total,Max,Min
2025-06-18,0.5,2.0,0.0,0.4,1.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,NA,,10.4,5.0,0.0
2025-06-19,,,,,,,,,,,,,,,,,,,
2025-06-20,14.0,34.9,8.0,20.0,24.9,11.2,12.5,0.0,0.0,0.0,0.0,7.3,0.0,8.0,NA,,140.8,34.9,0.0
2025-06-21,47.0,56.2,40.0,42.5,50.3,40.5,11.6,0.0,0.0,0.0,4.5,4.9,0.0,5.0,NA,,302.5,56.2,0.0
2025-06-22,22.0,46.0,15.3,31.8,33.5,11.7,5.0,0.0,0.0,0.0,0.0,4.3,0.0,8.0,NA,,177.6,46.0,0.0
2025-06-23,,,,,,,,,,,,,,,,,,,
2025-06-24,6.0,5.8,4.4,4.5,5.0,4.1,2.5,0.0,0.0,0.0,0.0,0.0,0.0,7.0,NA,,39.3,7.0,0.0
2025-06-25,15.0,21.6,9.5,23.0,25.0,7.8,9.6,0.0,0.0,0.0,0.0,1.5,0.0,25.0,NA,,138.0,25.0,0.0
2025-06-26,6.0,21.5,3.0,8.2,47.2,7.4,11.8,0.0,0.0,0.0,1.1,2.9,0.0,4.0,NA,,113.1,47.2,0.0
2025-06-27,,,,,,,,,,,,,,,,,,,
2025-06-28,,,,,,,,,,,,,,,,,,,
2025-06-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,,0.0,0.0,0.0
2025-06-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,,0.0,0.0,0.0
2025-07-01,,,,,,,,,,,,,,,,,,,
2025-07-02,,,,,,,,,,,,,,,,,,,
2025-07-03,,,,,,,,,,,,,,,,,,,
2025-07-04,,,,,,,,,,,,,,,,,,,
2025-07-05,,,,,,,,,,,,,,,,,,,
2025-07-06,5.0,1.7,1.7,10.5,0.8,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,NA,,29.2,10.5,0.0
2025-07-07,1.5,1.5,0.0,1.8,1.5,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,,8.0,1.8,0.0
2025-07-08,2.0,1.5,4.2,5.5,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,NA,,19.1,5.5,0.0
2025-07-09,1.0,38.5,0.6,12.0,33.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,NA,,88.9,38.5,0.0
2025-07-10,0.0,0.0,0.0,0.7,15.5,0.0,0.0,0.0,6.0,25.0,0.0,0.0,0.0,2.0,NA,,49.2,25.0,0.0
2025-07-11,2.5,16.7,1.0,4.5,53.9,1.0,1.5,0.0,0.0,0.0,0.0,0.6,0.0,16.0,NA,,97.7,53.9,0.0
2025-07-12,11.0,20.6,7.5,15.2,18.0,5.2,0.0,0.0,0.0,0.0,0.0,0.9,0.0,14.0,NA,,92.4,20.6,0.0
2025-07-13,3.0,12.6,5.8,9.2,7.2,0.5,8.2,0.0,0.0,0.0,0.0,0.0,0.0,9.0,NA,,55.5,12.6,0.0
2025-07-14,13.5,15.0,10.0,18.0,18.3,9.7,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,,86.5,18.3,0.0
2025-07-15,27.0,27.2,24.0,37.1,16.0,1.7,4.5,0.0,0.0,0.0,0.0,0.0,0.0,16.0,NA,,153.5,37.1,0.0
2025-07-16,16.0,28.0,18.0,22.0,14.7,12.7,6.3,0.0,0.0,0.0,0.0,4.6,0.0,7.0,NA,20.0,149.3,28.0,0.0
2025-07-17,13.3,18.2,9.0,12.5,9.6,3.7,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,20.0,87.7,20.0,0.0
2025-07-18,82.2,90.6,66.0,106.0,67.0,22.7,22.5,0.0,,0.0,0.0,6.4,0.0,14.0,NA,,477.4,106.0,0.0
2025-07-19,58.0,42.0,47.0,56.4,27.7,48.7,25.0,0.0,0.0,0.0,0.0,1.7,0.0,15.0,NA,,321.5,58.0,0.0
2025-07-20,72.0,30.0,36.3,60.2,22.9,25.8,33.8,5.0,0.0,0.0,2.1,19.0,0.0,17.0,NA,,324.1,72.0,0.0
2025-07-21,85.0,67.2,60.5,70.8,52.0,41.2,43.0,2.5,0.0,0.0,5.5,21.1,4.0,20.0,NA,,472.8,85.0,0.0
2025-07-22,,,,,,,,,,,,,,,,,,,
2025-07-23,53.5,51.0,21.0,52.5,39.0,41.7,21.4,5.5,0.0,0.0,4.8,28.4,0.0,16.0,NA,,334.8,53.5,0.0
2025-07-24,12.5,8.7,9.0,13.1,8.1,13.3,3.5,1.1,0.0,0.0,0.0,1.2,0.0,7.0,NA,,77.5,13.3,0.0
2025-07-25,20.0,29.0,18.5,31.2,26.4,6.3,9.6,0.0,,0.0,0.0,4.8,0.0,22.0,NA,,167.8,31.2,0.0
2025-07-26,,,,,,,,,,,,,,,,,,,
2025-07-27,0.0,0.5,0.5,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.5,0.0
2025-07-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-07-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,32.0,32.0,32.0,0.0
2025-07-30,0.5,0.4,0.3,0.8,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8,0.8,0.0
2025-07-31,0.0,0.5,0.0,0.3,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0
2025-08-01,4.0,7.5,6.1,11.5,5.3,0.6,3.5,0.0,0.0,0.0,26.2,2.0,0.0,2.0,5.5,5.5,79.7,26.2,0.0
2025-08-02,18.0,10.7,24.0,17.2,7.5,3.6,3.5,1.8,0.0,0.0,0.0,0.0,0.0,14.0,60.5,2.0,162.8,60.5,0.0
2025-08-03,,56.5,40.0,55.6,56.3,0.0,76.0,6.3,,6.7,1.6,33.3,13.0,13.0,18.5,0.0,376.8,76.0,0.0
2025-08-04,6.0,11.6,1.0,5.7,9.3,2.1,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,38.5,11.6,0.0
2025-08-05,,,,,,,,,,,,,,,,,,,
2025-08-06,1.0,1.3,1.0,0.5,0.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,6.0,1.3,0.0
2025-08-07,1.0,4.0,0.0,1.7,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8.8,4.0,0.0
2025-08-08,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0
2025-08-09,,,,,,,,,,,,,,,,,,,
2025-08-10,0.0,0.7,1.0,0.3,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,2.0,11.5,5.0,0.0
2025-08-11,18.0,27.0,11.5,22.3,29.9,11.9,10.5,0.0,0.0,0.0,0.0,10.0,0.0,30.0,7.5,12.0,190.6,30.0,0.0
2025-08-12,18.0,15.3,9.0,21.6,13.1,15.2,11.2,0.0,0.0,0.0,0.0,3.6,0.0,25.0,5.5,0.0,137.5,25.0,0.0
2025-08-13,26.0,18.2,3.4,24.0,6.6,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,3.0,0.0,108.0,26.0,0.0
2025-08-14,5.3,6.5,2.6,4.6,6.3,4.0,2.4,0.0,0.0,0.0,0.0,3.6,0.0,1.0,0.0,0.0,36.3,6.5,0.0
2025-08-15,22.0,9.8,8.5,23.2,9.4,6.8,5.5,0.0,0.0,0.0,0.0,3.0,0.0,2.0,8.5,0.0,98.7,23.2,0.0
2025-08-16,22.0,24.7,17.0,26.4,14.2,27.7,9.5,0.0,0.0,0.0,5.1,3.1,0.0,26.0,20.0,0.0,195.7,27.7,0.0
2025-08-17,18.0,34.0,13.0,19.3,26.4,13.6,16.0,0.0,0.0,0.0,1.4,11.0,0.0,15.0,7.5,0.0,175.2,34.0,0.0
2025-08-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.5,0.0
2025-08-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-08-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-08-21,0.0,0.0,0.0,0.0,0.0,2.9,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0.0,18.9,16.0,0.0
2025-08-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,3.2,0.0,0.0,0.0,0.0,0.0,0.0,21.2,18.0,0.0
2025-08-23,2.0,3.7,0.5,1.1,3.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,15.0,26.4,15.0,0.0
2025-08-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-08-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,0.0
2025-08-26,2.5,7.6,0.0,1.0,17.4,0.0,7.2,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,37.7,17.4,0.0
2025-08-27,25.9,31.2,21.2,30.4,27.0,13.2,16.0,2.6,0.0,0.0,0.0,3.2,0.0,30.0,31.0,0.0,231.7,31.2,0.0
2025-08-28,26.5,25.5,22.0,30.0,24.7,14.6,11.2,0.0,0.0,0.0,0.0,0.0,0.0,7.0,23.0,0.0,184.5,30.0,0.0
2025-08-29,8.0,7.5,2.0,5.0,5.6,5.5,0.0,0.0,,0.0,0.0,0.0,0.0,2.0,2.5,0.0,38.1,8.0,0.0
2025-08-30,13.0,15.6,8.3,19.3,10.0,6.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0,0.0,85.0,19.3,0.0
2025-08-31,,9.2,2.0,11.1,3.6,4.5,3.0,0.0,,0.0,0.0,0.0,0.0,7.0,1.5,0.0,41.9,11.1,0.0
2025-09-01,11.0,13.0,6.4,11.2,8.0,7.0,18.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5,0.0,81.8,18.7,0.0
2025-09-03,,28.0,6.1,7.5,21.6,5.1,1.4,0.0,,0.0,0.0,0.0,0.0,6.0,4.0,0.0,79.7,28.0,0.0
2025-09-04,0.0,0.5,0.0,1.1,0.7,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.7,3.4,0.0
2025-09-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-06,0.0,4.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,40.3,36.0,0.0
2025-09-07,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.0
2025-09-08,27.0,36.0,6.3,8.7,24.1,23.2,7.0,34.0,0.0,2.4,56.4,4.5,6.0,18.0,9.5,0.0,263.1,56.4,0.0
2025-09-09,32.0,17.5,28.0,20.3,7.1,3.0,5.6,23.4,0.0,0.0,20.2,3.1,0.0,0.0,37.5,0.0,197.7,37.5,0.0
2025-09-10,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,21.0,20.0,0.0
2025-09-11,1.0,9.2,4.0,0.5,0.0,2.5,1.4,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,22.6,9.2,0.0
2025-09-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-13,2.0,2.2,0.0,1.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.4,2.2,0.0
2025-09-14,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0
2025-09-15,11.0,26.8,6.0,18.6,20.5,4.3,1.3,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.5,0.0,93.0,26.8,0.0
2025-09-23,1.5,16.6,4.0,1.6,18.1,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,1.0,0.0,76.1,31.0,0.0
2025-09-24,23.0,32.0,18.5,38.1,32.5,18.5,5.3,0.0,0.0,0.0,5.9,5.2,5.5,77.0,24.5,0.0,286.0,77.0,0.0
2025-09-25,36.2,57.3,38.4,67.6,65.1,22.1,33.2,0.0,,0.0,0.0,4.6,14.5,55.0,36.0,0.0,430.0,67.6,0.0
2025-09-26,30.8,62.5,25.2,43.5,50.0,23.0,33.0,0.2,0.0,0.0,15.0,15.3,0.0,17.0,16.5,0.0,332.0,62.5,0.0
2025-09-27,14.5,12.0,26.9,25.6,8.6,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.5,0.0,104.1,26.9,0.0
2025-09-28,0.5,8.6,0.0,0.3,1.5,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.6,8.6,0.0
2025-09-29,4.5,9.5,9.0,4.2,7.1,0.0,1.5,0.0,,0.0,0.0,0.0,0.0,8.0,6.0,0.0,49.8,9.5,0.0
2025-09-30,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0
2025-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-03,,0.0,0.0,0.0,0.0,0.0,7.3,15.2,,2.5,0.0,55.7,0.0,1.0,0.0,0.0,81.7,55.7,0.0
2025-10-04,20.0,25.7,26.5,50.5,25.6,43.1,15.5,14.0,17.0,18.7,10.0,36.0,17.5,17.0,15.0,73.6,425.7,73.6,10.0
